Reel,Comment,TextBlob,LLM_Groq,Agreement
Reel1_Mythology_Ambaji,Maa❤️❤️❤️❤️❤️❤️,Positive,Positive,AGREE
Reel1_Mythology_Ambaji,I love you and your naychiral work,Positive,Positive,AGREE
Reel1_Mythology_Ambaji,जय माता जी,Neutral,Positive,DISAGREE
Reel1_Mythology_Ambaji,Most important chor 🤣🤣🤣,Positive,Negative,DISAGREE
Reel1_Mythology_Ambaji,Kya fayda hota hai vahan se Paisa milta Hai inko,Neutral,Negative,DISAGREE
Reel1_Mythology_Ambaji,Jay ambe maa 🙏,Positive,Positive,AGREE
Reel1_Mythology_Ambaji,Parivar sarkar daytha our harami haram ka Pisa kaywal gaddari,Neutral,Negative,DISAGREE
Reel1_Mythology_Ambaji,Jay ambaji mata 🙏🏻🙏🏻🙏🏻,Positive,Positive,AGREE
Reel1_Mythology_Ambaji,8799180885,Neutral,Negative,DISAGREE
Reel1_Mythology_Ambaji,Bo gu khane ka bolega to Kha lenge Kya laode,Neutral,Negative,DISAGREE
Reel1_Mythology_Ambaji,Jay Mata Di ❤️❤️❤️,Positive,Positive,AGREE
Reel1_Mythology_Ambaji,❤️❤️❤️❤️,Positive,Positive,AGREE
Reel1_Mythology_Ambaji,जय श्री राम,Neutral,Positive,DISAGREE
Reel1_Mythology_Ambaji,Baba ji ka thullu,Neutral,Negative,DISAGREE
Reel2_Business_Ambani,Soo nice,Positive,Positive,AGREE
Reel2_Business_Ambani,Nice video,Positive,Positive,AGREE
Reel2_Business_Ambani,Motu,Neutral,Positive,DISAGREE
Reel2_Business_Ambani,Motu aur Patlu ki jodi,Neutral,Positive,DISAGREE
Reel2_Business_Ambani,Haathi ka bacha,Neutral,Positive,DISAGREE
Reel2_Business_Ambani,गदड़े के गु का लेंडा लगता है,Neutral,Negative,DISAGREE
Reel2_Business_Ambani,True love forever ha Jay ShreeKrishna,Positive,Positive,AGREE
Reel2_Business_Ambani,Good,Positive,Positive,AGREE
Reel2_Business_Ambani,Vijaya bhavahh,Neutral,Positive,DISAGREE
Reel2_Business_Ambani,Monkey Babu kee tarafa sa happy raho bacha,Positive,Positive,AGREE
Reel2_Business_Ambani,Congratulations sir,Neutral,Positive,DISAGREE
Reel2_Business_Ambani,Power of true love forever,Positive,Positive,AGREE
Reel3_Vantara_Wildlife,Good man 👍,Positive,Positive,AGREE
Reel3_Vantara_Wildlife,Very nice,Positive,Positive,AGREE
Reel3_Vantara_Wildlife,Great job 👍,Positive,Positive,AGREE
Reel3_Vantara_Wildlife,Good job BHAi 😊 🙏,Positive,Positive,AGREE
Reel3_Vantara_Wildlife,2 elephants in one frame,Neutral,Positive,DISAGREE
Reel3_Vantara_Wildlife,Dono hati ekk sath 😂😂,Neutral,Positive,DISAGREE
Reel3_Vantara_Wildlife,Chhota hathi hai saath mai,Neutral,Neutral,AGREE
Reel3_Vantara_Wildlife,Good working ❤️❤️❤️,Positive,Positive,AGREE
Reel3_Vantara_Wildlife,Good think and good work......,Positive,Positive,AGREE
Reel3_Vantara_Wildlife,Hathi 🐘 always love ❤️ elephant 🐘,Positive,Positive,AGREE
Reel3_Vantara_Wildlife,I like animals ❤️,Positive,Positive,AGREE
Reel4_Hanuman,Jai hanuman ji❤️❤️❤️❤️❤️❤️❤️❤️,Positive,Positive,AGREE
Reel4_Hanuman,Jay Hanuman ji❤️❤️❤️,Positive,Positive,AGREE
Reel4_Hanuman,Jai bajrangbali ❤️,Positive,Positive,AGREE
Reel4_Hanuman,Sath mai unn pur Ambani baba ki zadda kirpa ha...,Neutral,Positive,DISAGREE
Reel4_Hanuman,Jay shree ram 🙏🙏🙏,Positive,Positive,AGREE
Reel4_Hanuman,जय श्री राम,Neutral,Positive,DISAGREE
